,0,1,cluster,SMILES_standardized
397,[H]Oc1c(-c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2[H])c(-c2c([H])n(C([H])([H])OC([H])([H])[H])c3c([H])c([H])c([H])c([H])c23)c([H])n1[H],398,2,COCn1cc(-c2c[nH]c(O)c2-c2cc(OC)c(OC)c(OC)c2)c2ccccc21
398,[H]c1nc(C([H])([H])N=c2c(C(F)(F)F)c([H])n([H])c(=Nc3c([H])c([H])c4c(c3[H])C([H])([H])C([H])([H])C(=O)N4[H])n2[H])c([H])c([H])c1[H],399,0,O=C1CCc2cc(N=c3[nH]cc(C(F)(F)F)c(=NCc4ccccn4)[nH]3)ccc2N1
399,[H]Oc1c(-c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2[H])c(-c2c([H])n(C([H])([H])OC([H])([H])C([H])([H])[H])c3c([H])c([H])c([H])c([H])c23)c([H])n1[H],400,2,CCOCn1cc(-c2c[nH]c(O)c2-c2cc(OC)c(OC)c(OC)c2)c2ccccc21
400,[H]Oc1c(-c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c2[H])c(-c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)c([H])n1[H],401,2,COc1cc(-c2c(-c3c[nH]c4ccccc34)c[nH]c2O)cc(OC)c1OC
401,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC([H])([H])c4c([H])c([H])c([H])c([H])c4S(=O)(=O)N4C([H])([H])C([H])([H])C([H])([H])C4([H])[H])n3[H])c([H])c([H])c2n1[H],402,0,O=S(=O)(c1ccccc1CN=c1[nH]c(=Nc2ccc3[nH]c(O)cc3c2)[nH]cc1C(F)(F)F)N1CCCC1
402,[H]Oc1c(C([H])([H])c2c(C([H])([H])[H])c(C(=O)N=C([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c(C([H])([H])[H])n2[H])c2c([H])c(F)c([H])c([H])c2n1[H],403,0,CCN(CC)CC=NC(=O)c1c(C)[nH]c(Cc2c(O)[nH]c3ccc(F)cc23)c1C
403,[H]OC([H])(c1c([H])c([H])c([H])c([H])c1Cl)C([H])([H])N([H])c1c([H])c([H])n([H])c(=O)c1-c1nc2c(C([H])([H])[H])c([H])c(N3C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C#N)C([H])([H])C3([H])[H])c([H])c2n1[H],404,0,Cc1cc(N2CCN(CCC#N)CC2)cc2[nH]c(-c3c(NCC(O)c4ccccc4Cl)cc[nH]c3=O)nc12
404,[H]c1c([H])c([H])c2c(C3=C(c4c([H])n([H])c5c([H])c([H])c([H])c([H])c45)C(=O)N([H])C3=O)nc(N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])nc2c1[H],405,0,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1
405,[H]c1nc2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2c(Oc2c([H])c([H])c(=NC(=O)c3c(N([H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c([H])n(-c4c([H])c([H])c([H])c([H])c4[H])c3=O)n([H])c2[H])c1[H],406,0,COCCNc1ccn(-c2ccccc2)c(=O)c1C(=O)N=c1ccc(Oc2ccnc3cc(OC)c(OC)cc23)c[nH]1
406,[H]c1nc2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2c(Oc2c([H])c([H])c(=NC(=O)c3c([H])c(C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c([H])n(-c4c([H])c([H])c([H])c([H])c4[H])c3=O)n([H])c2[H])c1[H],407,0,COc1cc2nccc(Oc3ccc(=NC(=O)c4cc(Cc5ccccc5)cn(-c5ccccc5)c4=O)[nH]c3)c2cc1OC
407,[H]c1nc2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2c(Oc2c([H])c([H])c(=NC(=O)c3c(N([H])c4c([H])c([H])c([H])c([H])c4[H])c([H])c([H])n(-c4c([H])c([H])c([H])c([H])c4[H])c3=O)n([H])c2[H])c1[H],408,0,COc1cc2nccc(Oc3ccc(=NC(=O)c4c(Nc5ccccc5)ccn(-c5ccccc5)c4=O)[nH]c3)c2cc1OC
408,[H]c1nc2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2c(Oc2c([H])c([H])c(=NC(=O)c3c(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])c([H])c([H])n(-c4c([H])c([H])c([H])c([H])c4[H])c3=O)n([H])c2[H])c1[H],409,0,COc1cc2nccc(Oc3ccc(=NC(=O)c4c(NC5CCOCC5)ccn(-c5ccccc5)c4=O)[nH]c3)c2cc1OC
